,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1479253999,,,4
1,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,413906,,,4
2,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,228903,,,4
3,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1737,,,4
4,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,91030,,,4
5,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,3336,,,4
6,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19824,,,4
7,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4620714,,,4
8,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2267054,,,4
9,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,870516,,,4
10,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,156622,,,4
11,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,237583431,,,4
12,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3823,,,4
13,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,242,Fiji,FJI,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6429,,,4
14,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,173079,,,4
15,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,69075,,,4
16,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,54346787,,,4
17,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,477526002,,,4
18,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2085,,,4
19,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,376,Israel,ISR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,58869436,,,4
20,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2050,,,4
21,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,31181942,,,4
22,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,398,Kazakhstan,KAZ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1736700,,,4
23,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15148949,,,4
24,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1130407,,,4
25,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,36343744,,,4
26,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3499,,,4
27,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,442,Luxembourg,LUX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10426,,,4
28,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,446,"China, Macao SAR",MAC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,3199345,,,4
29,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,25577375,,,4
30,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1189311,,,4
31,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,512,Oman,OMN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,12125811,,,4
32,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,524,Nepal,NPL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,246089,,,4
33,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2321972,,,4
34,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,540,New Caledonia,NCL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,141558,,,4
35,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,554,New Zealand,NZL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32044427,,,4
36,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,574,Norfolk Isds,NFK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8619,,,4
37,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,586,Pakistan,PAK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7622484,,,4
38,H5,2019,2019,2019,2,0,2,Export,36,Australia,AUS,598,Papua New Guinea,PNG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8758,,,4
